"","NAME","CITY","STATE","ZIP","LAT","LON","HIGHDEG","TYPE","RELIGIOUS","ONLINE","AVGFACSAL","TUIREVSTU","INCOSTSTU","PRGMOFR","OPENADMP","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","COST","NPT4_PUB","NPT4_PRIV","UGDS","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","INC_PCT_LO","INC_PCT_M1","INC_PCT_M2","INC_PCT_H1","INC_PCT_H2","FTFTPCTFLOAN","GRAD_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_P6","MN_EARN_WNE_P7","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","MN_EARN_WNE_INC1_P6","MN_EARN_WNE_INC2_P6","MN_EARN_WNE_INC3_P6","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","CDR3","RPY_1YR_RT","RPY_3YR_RT","RPY_5YR_RT","RPY_7YR_RT"
"1","Alabama A & M University","Normal","AL","35762","34.783368","-86.568502",4,1,"NULL","0","7101","7413","5384","NULL","2","0.8986","9744","18354","22489","14444","NULL","4990","0.4076","0.5924","0.0186","0.912","0.0018","0.0088","0.6020087884","0.1898932831","0.1051475204","0.0621468927","0.0408035154","0.7143","34500","15000","15125","16125","28400","29600","30600","33800","35500","27200","29100","30800","33000","37300","39500","0.182","0.1734693878","0.2531554273","0.3311258278","0.3847915712"
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110","33.505697","-86.799345",4,1,"NULL","0","10717","13177","16454","NULL","2","0.9211","8568","19704","24347","17005","NULL","13186","0.393","0.607","0.5717","0.2553","0.0633","0.0334","0.4276131917","0.1798024967","0.1423514067","0.114589156","0.1356437488","0.535","22500","15563","15000","14000","39400","40000","44100","44500","48400","38600","39400","40500","47000","49500","49300","0.057","0.451034777","0.513963161","0.5710577547","0.6377618669"
"3","Amridge University","Montgomery","AL","36117-3553","32.362609","-86.17401",4,2,"74","1","4292","14273","4206","NULL","1","NULL","6900","6900","17680","NULL","15322","351","0.3191","0.6809","0.2393","0.7151","0.0057","0.0171","0.7736486486","0.1148648649","0.0641891892","PrivacySuppressed","PrivacySuppressed","1","25002","10500","18000","25000","35400","38700","40800","42400","47600","30300","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48800","PrivacySuppressed","0.11","0.1601731602","0.2307692308","0.3324675325","0.4332129964"
"4","University of Alabama in Huntsville","Huntsville","AL","35899","34.724557","-86.640449",4,1,"NULL","0","9442","8677","9242","NULL","2","0.8087","10714","22362","23441","20909","NULL","7458","0.5796","0.4204","0.7167","0.0969","0.0381","0.0528","0.374633738","0.1377145249","0.1469233989","0.1506906656","0.1900376727","0.4556","22021","16500","14250","12044","40300","43400","45900","50200","52000","36300","44200","41500","47000","55500","55100","0.059","0.5020026702","0.5485090298","0.5883111302","0.647634584"
"5","Alabama State University","Montgomery","AL","36104-0271","32.364317","-86.295677",4,1,"NULL","0","7754","10160","8527","NULL","2","0.9774","11068","19396","21476","13043","NULL","3903","0.371","0.629","0.0167","0.9352","0.0041","0.0095","0.6146166134","0.178514377","0.1126198083","0.052715655","0.0415335463","0.7539","32637","19000","19137","16000","24400","25200","27500","29400","30600","23500","25400","27700","29000","32500","34300","0.203","0.1361102963","0.2185867473","0.2897054358","0.3226012113"
"6","The University of Alabama","Tuscaloosa","AL","35487-0166","33.211875","-87.545978",4,1,"NULL","0","10225","14198","10770","NULL","2","0.5906","10780","29230","29424","22232","NULL","32177","0.4443","0.5557","0.7774","0.0999","0.0116","0.0499","0.261546724","0.1279269603","0.1374865736","0.1316863588","0.3413533835","0.4145","23250","18250","17750","16500","42400","41700","45600","47200","51600","42900","41400","42700","45500","51600","55800","0.051","0.5467113532","0.6019442985","0.6358131488","0.6908678389"
"7","Central Alabama Community College","Alexander City","AL","35010","32.92478","-85.945266",2,1,"NULL","0","6291","1771","6801","NULL","1","NULL","4740","8610","8824","3254","NULL","1211","0.4154","0.5846","0.725","0.2337","0.0041","0.0239","0.6074766355","0.1757009346","0.114953271","0.0654205607","0.0364485981","0.1748","12447","8514","7940","5500","25900","26600","29300","29400","32400","23300","29700","33800","28900","37300","42800","0.196","0.1896407686","0.2510056315","0.3200346921","0.42375"
"8","Athens State University","Athens","AL","35611","34.806793","-86.964698",4,1,"NULL","0","8538","6817","7988","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2732","0.3086","0.6914","0.7657","0.127","0.0073","0.0311","0.4928385417","0.203125","0.1569010417","0.1009114583","0.0462239583","NULL","18750","13259","14687","12500","36200","37500","40000","42100","42400","30800","38600","42500","36700","45400","50900","0.075","0.4318594791","0.5038167939","0.5420168067","0.5972622478"
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596","32.36736","-86.177544",4,1,"NULL","0","7678","7582","6289","NULL","2","0.9281","8404","17812","18291","12680","NULL","4529","0.348","0.652","0.452","0.4131","0.0221","0.0117","0.4892262488","0.1885406464","0.1307541626","0.110675808","0.0808031342","0.5518","25000","12500","12500","11375","32100","34500","37000","35500","38000","29400","33700","35300","34600","39100","45200","0.104","0.3822377013","0.4418886199","0.4601834862","0.528"
"10","Auburn University","Auburn","AL","36849","32.599378","-85.488258",4,1,"NULL","0","10428","15908","11058","NULL","2","0.7543","11276","30524","31282","23696","NULL","24147","0.5115","0.4885","0.8078","0.055","0.0236","0.0342","0.2520373683","0.1208507255","0.129397734","0.1530510833","0.3446630888","0.3039","21000","17500","17500","15000","43100","44100","50800","49700","56300","41900","42200","44100","53800","54600","58300","0.036","0.6831242412","0.7239612977","0.7806225824","0.7988766472"
"11","Birmingham Southern College","Birmingham","AL","35254","33.513774","-86.850552",3,2,"71","0","7688","11383","10356","NULL","2","0.5666","17650","17650","52176","NULL","25494","1265","0.4791","0.5209","0.7858","0.1391","0.0253","0.0213","0.2352941176","0.128959276","0.1787330317","0.1787330317","0.278280543","0.5358","26000","15375","18500","19558","36700","35600","43500","44700","53100","33800","35600","38600","PrivacySuppressed","PrivacySuppressed","59500","0.048","0.7025761124","0.7559912854","0.7704918033","0.7781155015"
"12","Chattahoochee Valley Community College","Phenix City","AL","36869","32.42391","-85.031485",2,1,"NULL","0","6113","2036","4933","NULL","1","NULL","4738","8608","8750","1578","NULL","1446","0.3921","0.6079","0.4592","0.4101","0.0104","0.0595","0.6658119658","0.1931623932","0.0846153846","0.0367521368","0.0196581197","0.1341","10655","7690","7000","6500","26000","26400","28200","30200","31300","22000","PrivacySuppressed","PrivacySuppressed","28500","PrivacySuppressed","PrivacySuppressed","0.15","0.2570754717","0.28125","0.3503649635","0.3989361702"
"13","South University-Montgomery","Montgomery","AL","36116","32.342684","-86.216488",4,3,"NULL","0","5304","11386","4579","NULL","1","NULL","17014","17014","29309","NULL","22660","321","0.2305","0.7695","0.2835","0.6604","0.0093","0.0187","0.6569544875","0.1545441656","0.0954912803","0.0555082943","0.0375017723","1","25084","11834","14666","14583","32500","33600","41000","34900","40200","24700","37700","55700","32200","42100","61700","0.116","0.1927233149","0.2547585843","0.2736477659","0.3393496831"
"14","Enterprise State Community College","Enterprise","AL","36330-1300","31.297496","-85.836956",2,1,"NULL","0","6335","2315","5926","NULL","1","NULL","4740","8610","9262","4100","NULL","1269","0.5059","0.4941","0.6399","0.2325","0.015","0.0583","0.6293838863","0.1563981043","0.1118483412","0.0587677725","0.0436018957","0.1895","7957","5125","5999","5500","33700","32200","40900","29000","42700","29600","37600","50900","40000","47800","45500","0.179","0.3636363636","0.4260416667","0.4342541436","0.5153153153"
"15","Coastal Alabama Community College","Bay Minette","AL","36507-2698","30.851343","-87.778193",2,1,"NULL","0","6343","2524","5411","NULL","1","NULL","4740","8610","12008","6141","NULL","5494","0.3973","0.6027","0.6565","0.2397","0.0113","0.0346","0.5749923943","0.1667173715","0.1137815637","0.0772741101","0.0672345604","0.2447","11000","5500","5500","5500","26600","28500","31100","31300","33900","24900","28400","30100","29700","37900","38600","0.177","0.3047008547","0.3489905233","0.4264935065","0.4710564399"
"16","Faulkner University","Montgomery","AL","36109-3390","32.384181","-86.21641",4,2,"74","0","5743","11044","5379","NULL","2","0.5227","21690","21690","33944","NULL","25557","2079","0.4045","0.5955","0.4238","0.481","0.0053","0.0178","0.5741789354","0.1596828992","0.1228765572","0.0866364666","0.0566251416","0.7468","24000","15679","15750","14797","33400","38700","37000","42500","40700","26900","40100","39900","32000","45800","51900","0.125","0.2437128487","0.3081623745","0.3972296693","0.4868686869"
"17","Gadsden State Community College","Gadsden","AL","35903","33.994001","-85.991438",2,1,"NULL","0","6433","1940","6539","NULL","1","NULL","3840","7056","10098","4362","NULL","4147","0.3815","0.6185","0.7056","0.1905","0.0063","0.0388","0.7279792746","0.1876387861","0.0788304959","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","24300","25700","27200","29000","30200","22900","PrivacySuppressed","PrivacySuppressed","28200","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL"
"18","New Beginning College of Cosmetology","Albertville","AL","35951","34.27871","-86.196931",1,3,"NULL","0","NULL","5408","3024","2","1","NULL","NULL","NULL","NULL","NULL","9885","83","0.012","0.988","0.7831","0.0602","0","0.1566","0.6991150442","0.1681415929","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.5192","6478","5500","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.065","0.4112149533","0.4205607477","NULL","NULL"
"19","George C Wallace Community College-Dothan","Dothan","AL","36303-9234","31.315274","-85.465836",2,1,"NULL","0","5991","2179","5494","NULL","1","NULL","4680","8550","9564","1277","NULL","3746","0.3251","0.6749","0.6188","0.3057","0.0112","0.036","0.7616198803","0.1569259089","0.0745513116","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","24900","26700","28500","30700","29800","23600","PrivacySuppressed","PrivacySuppressed","28700","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL"
"20","George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000","34.072439","-86.781935",2,1,"NULL","0","5878","2845","5223","NULL","1","NULL","4740","8610","10252","5531","NULL","4569","0.3489","0.6511","0.8345","0.0584","0.0055","0.0512","0.5193199382","0.1792890263","0.1659969088","0.0893353941","0.0460587326","0.3061","10500","8825","8000","8237","29200","29300","33000","30100","34800","25900","31800","35300","31700","37100","46000","0.142","0.3911451398","0.4397394137","0.4772349618","0.5037558685"
"21","George C Wallace State Community College-Selma","Selma","AL","36703-2808","32.445917","-87.013294",2,1,"NULL","0","5016","1538","4098","NULL","1","NULL","4440","8310","13788","7114","NULL","1104","0.3451","0.6549","0.2065","0.75","0.0063","0.0063","0.845021645","0.10995671","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","23000","24400","26000","27300","27300","21800","PrivacySuppressed","PrivacySuppressed","25700","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL"
"22","Herzing University-Birmingham","Birmingham","AL","35209","33.468466","-86.832465",4,2,"NULL","0","5988","13723","3697","NULL","2","0.95","14000","14000","26128","NULL","17906","544","0.2132","0.7868","0.2813","0.5956","0.0018","0.0184","0.6933148684","0.1498174493","0.085106383","0.0453229258","0.0264383734","1","23366","11318","14252","16677","30100","37800","35100","41700","41600","24500","34900","40100","35000","42500","52600","0.127","0.2496728916","0.3041105434","0.3260677467","0.4206598586"
"23","Huntingdon College","Montgomery","AL","36106-2148","32.351034","-86.284366",3,2,"71","0","6810","11149","6703","NULL","2","0.5841","27400","27400","35685","NULL","20136","1078","0.5056","0.4944","0.6503","0.2171","0.0093","0.0557","0.4023668639","0.174556213","0.1523668639","0.1390532544","0.1316568047","0.7721","26805","16360","17750","15000","34600","36400","39900","37700","43600","29000","36700","36800","31300","47300","47700","0.098","0.4588235294","0.5146036161","0.5925349922","0.6152173913"
"24","Heritage Christian University","Florence","AL","35630-9977","34.856153","-87.663051",4,2,"74","0","4681","11932","9975","NULL","1","NULL","11232","11232","NULL","NULL","NULL","49","0.9796","0.0204","0.7551","0.0816","0.0204","0.0816","PrivacySuppressed","0.4","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45800","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.181","0.44","0.4827586207","0.5869565217","0.4871794872"
"25","J. F. Drake State Community and Technical College","Huntsville","AL","35811","34.771858","-86.572885",2,1,"NULL","0","6096","1599","4487","NULL","1","NULL","4710","8580","11123","4825","NULL","678","0.4528","0.5472","0.3451","0.5383","0.0088","0.0236","0.8340874811","0.1146304676","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","21500","23000","24300","26400","27600","20300","PrivacySuppressed","PrivacySuppressed","25600","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL"
"26","J F Ingram State Technical College","Deatsville","AL","36022","32.582312","-86.392369",1,1,"NULL","0","5597","116","12761","NULL","1","NULL","5328","5328","5580","3345","NULL","443","0.7359","0.2641","0.4312","0.5463","0","0.0135","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"27","Jacksonville State University","Jacksonville","AL","36265","33.822938","-85.765321",4,1,"NULL","0","7122","6509","9314","NULL","2","0.543","8760","16536","20050","16962","NULL","6394","0.421","0.579","0.7183","0.1866","0.0067","0.0084","0.4226415094","0.1718696398","0.1674099485","0.1348198971","0.1032590051","0.5794","25000","15998","16750","15000","31800","32000","34900","35800","38100","28700","33600","35100","35200","39500","41300","0.098","0.3618225937","0.4210392257","0.4580348004","0.5019293559"
"28","Jefferson State Community College","Birmingham","AL","35215-3098","33.652535","-86.707233",2,1,"NULL","0","6676","3111","5340","NULL","1","NULL","4800","8670","13284","8924","NULL","6937","0.3862","0.6138","0.6353","0.2337","0.0174","0.0529","0.542864222","0.1912784936","0.1246283449","0.0830029732","0.0582259663","0.2594","9000","3750","5500","5500","29400","29100","32500","32100","33800","26300","31900","34700","31700","35700","38600","0.138","0.4066449982","0.4485852312","0.4763894693","0.5191082803"
"29","John C Calhoun State Community College","Tanner","AL","35671","34.645844","-86.949674",2,1,"NULL","0","6559","3537","4839","NULL","1","NULL","4820","8690","9848","5361","NULL","8270","0.4582","0.5418","0.6533","0.1779","0.0201","0.0643","0.5484314174","0.1676207923","0.1286924662","0.0913670712","0.0638882528","0.2677","11750","5970","6380","5738","27000","28300","30700","30800","32200","24400","29500","32700","28100","36500","39900","0.168","0.3323545115","0.38055344","0.4175753688","0.483627204"
"30","Judson College","Marion","AL","36756","32.629253","-87.315206",3,2,"54","0","6076","8288","12726","NULL","2","0.482","18510","18510","31735","NULL","16619","259","0.0077","0.9923","0.6988","0.2008","0.0039","0.0232","0.6708229426","0.0922693267","0.1122194514","0.0698254364","0.0548628429","0.7385","23500","11000","10500","11250","26300","25300","25500","32000","29300","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","32200","PrivacySuppressed","0.177","0.4052631579","0.4702970297","0.5688622754","0.6577181208"
"31","Lawson State Community College","Birmingham","AL","35221-1717","33.450814","-86.888844",2,1,"NULL","0","6337","1449","6870","NULL","1","NULL","4740","8610","13735","7299","NULL","2959","0.4018","0.5982","0.149","0.7989","0.0071","0.021","0.77929374","0.1641252006","0.0521669342","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","22700","24200","25700","25600","26600","21800","PrivacySuppressed","PrivacySuppressed","25300","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL"
"32","University of West Alabama","Livingston","AL","35470","32.588132","-88.186329",4,1,"NULL","0","6461","7929","7046","NULL","2","0.3966","10040","18490","20692","13975","NULL","2152","0.4173","0.5827","0.4326","0.4312","0.0033","0.0191","0.5456896552","0.1482758621","0.1198275862","0.1051724138","0.0810344828","0.7267","26663","14250","14250","13493","29700","33300","33400","35700","40400","25500","32600","39500","36300","41100","48900","0.078","0.3156123822","0.3667296786","0.4271907216","0.4646464646"
"33","Lurleen B Wallace Community College","Andalusia","AL","36420-1418","31.322947","-86.452262",2,1,"NULL","0","5945","1975","6177","NULL","1","NULL","4740","8610","14136","7800","NULL","1267","0.3631","0.6369","0.6851","0.2518","0.0055","0.0134","0.7092264678","0.1975768872","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","25500","26300","28200","31600","32000","24300","PrivacySuppressed","PrivacySuppressed","30000","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL"
"34","Marion Military Institute","Marion","AL","36756-3207","32.623734","-87.322041",2,1,"NULL","0","6302","2016","3843","NULL","2","0.5646","9418","15418","18568","11666","NULL","392","0.7602","0.2398","0.6301","0.1709","0.0255","0.0918","0.4122340426","0.125","0.1329787234","0.1515957447","0.1781914894","0.4413","11500","5500","5500","5750","33600","33500","43600","48300","49800","32400","35800","33100","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.093","0.5208333333","0.5924657534","0.5563909774","0.5032258065"
"35","Miles College","Fairfield","AL","35064-2621","33.482442","-86.908751",3,2,"55","0","4615","4728","3562","NULL","1","NULL","12132","12132","22828","NULL","15248","1546","0.4754","0.5246","0.033","0.9483","0","0.0078","0.7231638418","0.1504237288","0.0699152542","0.0381355932","0.0183615819","0.9283","33143","14250","15610","11000","23100","23100","25600","27600","29500","21200","24800","30100","27900","31400","34600","0.111","0.1031480241","0.149776928","0.1990521327","0.2323838081"
"36","University of Mobile","Mobile","AL","36613-2842","30.793247","-88.128934",4,2,"75","0","4863","10177","7228","NULL","2","0.4704","23230","23230","35463","NULL","14611","1294","0.3601","0.6399","0.5796","0.2519","0.0162","0.0193","0.4047619048","0.1402116402","0.1970899471","0.1137566138","0.1441798942","0.5947","27000","20000","18750","19000","32700","36300","37300","40100","38700","31100","34400","32800","33200","41500","43500","0.096","0.3739130435","0.4438722966","0.5390804598","0.5506883605"
"37","University of Montevallo","Montevallo","AL","35115-6000","33.10625","-86.865099",4,1,"NULL","0","7710","8343","12463","NULL","2","0.4848","12760","25780","24411","16391","NULL","2251","0.3319","0.6681","0.6726","0.1666","0.0107","0.0542","0.3714285714","0.1527093596","0.1586206897","0.1507389163","0.1665024631","0.5768","24039","17225","18500","15000","28000","30700","32300","35600","36100","26400","28100","29800","34500","36100","37800","0.073","0.4592592593","0.5173333333","0.5911111111","0.6728869374"
"38","Northwest-Shoals Community College","Muscle Shoals","AL","35661","34.739788","-87.678089",2,1,"NULL","0","4650","2721","5807","NULL","1","NULL","4711","8581","12255","6999","NULL","2590","0.3799","0.6201","0.7618","0.1166","0.0054","0.0676","0.6214251091","0.1725642269","0.1114881241","0.0639844886","0.0305380514","0.1832","11500","8164","6250","5500","25600","25800","27600","29300","30800","23500","28000","31900","28000","34500","38200","0.23","0.3286558346","0.3611312545","0.4015151515","0.4679054054"
"39","University of North Alabama","Florence","AL","35632-0001","34.806738","-87.681361",4,1,"NULL","0","7898","7591","7977","NULL","2","0.6434","10142","18452","18712","12557","NULL","5741","0.3982","0.6018","0.734","0.1441","0.0064","0.0305","0.4009287926","0.1582817337","0.161377709","0.145123839","0.1342879257","0.6787","23250","13500","14250","15000","32100","33700","36300","37300","42800","28600","34000","34300","38000","41600","50400","0.116","0.4608843537","0.516271595","0.5703157032","0.6247524752"
"40","Northeast Alabama Community College","Rainsville","AL","35986","34.545471","-85.911664",2,1,"NULL","0","6335","2053","5837","NULL","1","NULL","4740","8610","8840","3273","NULL","1982","0.3724","0.6276","0.8148","0.0187","0.0035","0.1145","0.6157779401","0.1877282688","0.1117604091","0.0598977356","0.0248356465","0.1008","5144","3250","4250","5300","26200","27100","29000","30600","31700","23800","30000","34900","29400","PrivacySuppressed","PrivacySuppressed","0.121","0.4323607427","0.4630102041","0.4789115646","0.5063694268"
"41","Oakwood University","Huntsville","AL","35896","34.756344","-86.652705",4,2,"95","0","4970","14766","8484","NULL","2","0.6589","19732","19732","36361","NULL","26293","1569","0.427","0.573","0.0057","0.8279","0.0038","0.051","0.4322344322","0.1575091575","0.1709401709","0.1123321123","0.126984127","0.6742","31000","19561","22500","22500","25800","29400","32400","35900","37400","24400","26300","26900","32600","38300","42500","0.104","0.2373417722","0.2837301587","0.3432671082","0.3703256936"
"42","Reid State Technical College","Evergreen","AL","36401","31.460265","-86.964797",2,1,"NULL","0","6351","1639","9286","NULL","1","NULL","4800","8670","8958","2825","NULL","261","0.3716","0.6284","0.3985","0.5747","0.0038","0.0038","0.825613079","0.1307901907","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","25300","22200","26700","23700","26800","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","25500","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL"
"43","Bishop State Community College","Mobile","AL","36603-5898","30.693972","-88.056982",2,1,"NULL","0","6296","1695","5098","NULL","1","NULL","4740","8610","10155","4262","NULL","2440","0.4057","0.5943","0.2418","0.6635","0.0246","0.0246","0.8368376787","0.1211101766","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","23500","23600","26200","26700","28300","22700","PrivacySuppressed","PrivacySuppressed","27000","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","NULL"
"44","Samford University","Birmingham","AL","35229-2240","33.464128","-86.791799",4,2,"54","0","8888","19266","15332","NULL","2","0.8208","31650","31650","46474","NULL","29207","3524","0.3329","0.6671","0.851","0.0638","0.0105","0.0329","0.2184579439","0.0806074766","0.1308411215","0.1448598131","0.4252336449","0.3699","19304","15750","18747","14549","45200","46500","50700","58100","59800","49500","52800","40600","59100","57400","61400","0.029","0.7130325815","0.7767548907","0.8022959184","0.8196969697"
"45","Selma University","Selma","AL","36701","32.420387","-87.032392",4,2,"54","0","2957","14124","6327","NULL","1","NULL","7410","7410","15822","NULL","13037","304","0.4342","0.5658","0.0197","0.9704","0","0.0099","0.8","0.1118644068","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.86","30452","7401","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.342","0.0728643216","0.1179361179","0.1328671329","PrivacySuppressed"
"46","Shelton State Community College","Tuscaloosa","AL","35405-8522","33.120531","-87.56148",2,1,"NULL","0","4936","2510","5247","NULL","1","NULL","4467","8907","12070","6361","NULL","3829","0.4395","0.5605","0.5503","0.3748","0.0065","0.0016","0.7429048414","0.1719532554","0.0726210351","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","25900","24700","27100","26900","31100","24800","PrivacySuppressed","PrivacySuppressed","30000","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","PrivacySuppressed"
"47","Snead State Community College","Boaz","AL","35957-0734","34.201495","-86.169897",2,1,"NULL","0","7648","2830","3175","NULL","1","NULL","4800","8670","11073","4698","NULL","1872","0.3857","0.6143","0.7035","0.0897","0.0096","0.1448","0.5849056604","0.1912817176","0.1301236174","0.0696161353","0.0240728692","0.1707","7000","4500","4500","6000","25700","25600","29800","28000","30700","24400","PrivacySuppressed","PrivacySuppressed","28700","PrivacySuppressed","PrivacySuppressed","0.205","0.3113636364","0.3530701754","NULL","NULL"
"48","University of South Alabama","Mobile","AL","36688-0002","30.696033","-88.178711",4,1,"NULL","0","7239","9364","9758","NULL","2","0.7931","8396","16292","19835","14871","NULL","10035","0.4098","0.5902","0.6058","0.2298","0.0311","0.0367","0.4252947481","0.1612004287","0.1444801715","0.1316184352","0.1374062165","0.6012","25000","17500","17750","15000","35100","37300","42400","43300","46800","32200","36200","38800","44500","47900","49200","0.084","0.4235342353","0.4695919938","0.5077202543","0.5604049494"
"49","Spring Hill College","Mobile","AL","36608-1791","30.694751","-88.138199",4,2,"30","0","6672","12357","7604","NULL","2","0.6577","39464","39464","51969","NULL","19718","1252","0.3866","0.6134","0.6637","0.1558","0.0112","0.0319","0.247706422","0.1452599388","0.1697247706","0.1636085627","0.2737003058","0.9114","27000","17295","19000","21125","34800","36000","44000","46600","51300","29600","33500","38900","39200","51800","57700","0.059","0.5342706503","0.6072013093","0.6521035599","0.6783088235"
"50","Stillman College","Tuscaloosa","AL","35401","33.200006","-87.585278",3,2,"66","0","5094","7563","3550","NULL","2","0.3859","11092","11092","21314","NULL","13857","689","0.4601","0.5399","0.0566","0.8462","0","0.0029","0.6949740035","0.1455805893","0.0710571924","0.0571923744","0.0311958406","0.7881","33500","12250","13750","6482","24900","23800","28700","26700","33700","24000","24500","30300","28900","40600","37200","0.231","0.1598302687","0.2526595745","0.2661596958","0.2976588629"
"51","Talladega College","Talladega","AL","35160","33.433472","-86.112704",3,2,"76","0","5861","8315","4288","NULL","1","NULL","13571","13571","22514","NULL","16386","1208","0.5058","0.4942","0.0281","0.851","0.0025","0.0406","0.6823770492","0.1516393443","0.1004098361","0.0450819672","0.0204918033","0.9873","32039","28000","28055","10250","24200","20900","25600","26300","23900","20400","PrivacySuppressed","PrivacySuppressed","24000","PrivacySuppressed","PrivacySuppressed","0.235","0.1291291291","0.1789181692","0.2105263158","0.1805555556"
"52","H Councill Trenholm State Community College","Montgomery","AL","36108-3199","32.350109","-86.343057",2,1,"NULL","0","5384","2293","7166","NULL","1","NULL","4650","8520","12383","6881","NULL","1567","0.4461","0.5539","0.3006","0.6567","0.0096","0.0243","0.7815975733","0.1627906977","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","24400","25900","25400","25900","28000","22400","PrivacySuppressed","PrivacySuppressed","27100","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL"
"53","Troy University","Troy","AL","36082-0001","31.800672","-85.957094",4,1,"NULL","0","6639","9399","6442","NULL","2","0.8767","8908","16708","19180","13313","NULL","13147","0.3837","0.6163","0.5247","0.3122","0.0075","0.0374","0.4893582453","0.1860276198","0.1413484972","0.0982940699","0.0849715678","0.8088","26500","16100","15125","13750","34300","35900","37500","38800","41100","29400","37200","42700","35400","45500","48600","0.098","0.273071244","0.3498531898","0.3866133866","0.4716115004"
